OBJECTID,ZCTA5,DDA_CODE,DDA_TYPE,DDA_NAME,Shape__Area,Shape__Length
2380,85013,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",13889189.6289063,26147.4551848522
2381,91206,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",21950330.1054688,30235.5673568016
2382,92352,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",48125061.6328125,63222.5523294931
2383,90014,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1100346.8046875,5924.65637310047
2384,90015,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",6425186.97265625,15191.7550920373
2385,92358,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",274797682.699219,124182.792648278
2386,73012,METRO36420M36420,SA,"Oklahoma City, OK HUD Metro FMR Area",134405120.457031,63749.4011878243
2387,70037,METRO35380M35380,SA,"New Orleans-Metairie, LA HUD Metro FMR Area",197402086.433594,95680.3525151144
2388,92123,METRO41740M41740,SA,"San Diego-Chula Vista-Carlsbad, CA MSA",31620015.8945313,32731.1058712577
2389,87144,METRO10740M10740,SA,"Albuquerque, NM MSA",391752629.441406,104039.033064298
2390,90034,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",11755445.890625,19432.6049307751
2391,34119,METRO15980M15980,SA,"Cape Coral-Fort Myers, FL MSA",1577867.69140625,5264.39224555968
2392,75454,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",80206149.3398438,60230.9294660513
2393,75209,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",12890904.8007813,18830.6148451998
2394,00652,METRO11640M11640,SA,"Arecibo, PR MSA",18715846.0771484,20268.6968700911
2395,92555,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",248761270.523438,125126.959910675
2396,85083,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",74823673.3476563,40446.7688632267
2397,60503,METRO16980M16980,SA,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",14444247.0546875,22874.3205215403
2398,33594,METRO45300M45300,SA,"Tampa-St. Petersburg-Clearwater, FL MSA",35822614.7265625,29316.1832714136
2399,80602,METRO19740M19740,SA,"Denver-Aurora-Centennial, CO MSA",137878910.105469,73826.2820228321
2400,11963,METRO35620MM5380,SA,"Nassau-Suffolk, NY HUD Metro FMR Area",88684674.1601563,75317.1078661483
2401,91381,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",150701430.585938,73749.7730454289
2402,73538,METRO30020M30020,SA,"Lawton, OK HUD Metro FMR Area",322181097.730469,143790.199023914
2403,77433,METRO26420M26420,SA,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",206900978.007813,101226.671956585
2404,76092,METRO19100MM2800,SA,"Fort Worth-Arlington, TX HUD Metro FMR Area",78772775.1757813,45741.6041712282
2405,92603,METRO31080MM5945,SA,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",37365760.4570313,34235.3167560409
2406,08561,METRO45940M45940,SA,"Trenton-Princeton, NJ MSA",5097349.07421875,10599.0668196078
2407,11378,METRO35620MM5600,SA,"New York, NY HUD Metro FMR Area",11203893.3828125,20685.1328765569
2408,75219,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",8424355.38671875,18566.780779353
2409,75048,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",36246019.7148438,29485.4380669634
2410,91350,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",60587280.8359375,57882.4288299359
2411,97101,METRO41420M41420,SA,"Salem, OR MSA",92984155.453125,78535.4756350616
2412,90045,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",40609901.6054688,32970.334060921
2413,00677,METRO10380M10380,SA,"Aguadilla, PR MSA",41842314.1181641,32387.8467108032
2414,91362,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",3923786.16015625,9217.23340597724
2415,91362,METRO37100M37100,SA,"Oxnard-Thousand Oaks-Ventura, CA MSA",68140785.421875,37237.1245072878
2416,89117,METRO29820M29820,SA,"Las Vegas-Henderson-North Las Vegas, NV MSA",36729028.8828125,29803.7660161577
2417,91355,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",51302806.7421875,62641.649114044
2418,75054,METRO19100M19100,SA,"Dallas, TX HUD Metro FMR Area",23022262.0078125,24080.7955330579
2419,75054,METRO19100MM2800,SA,"Fort Worth-Arlington, TX HUD Metro FMR Area",20074030.046875,27260.2020275775
2420,85045,METRO38060M38060,SA,"Phoenix-Mesa-Chandler, AZ MSA",14842152.5429688,23433.719392527
2421,91367,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",28420074.0429688,32950.330236792
2422,90048,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",7179352.7421875,14027.2437027639
